=== ALL TIME PERFORMANCE ===
Total Profit: $-70.95
Total Bets: 1136
Strike Rate: 32.0%

=== WEEKLY PERFORMANCE ===
Week,Weekly_PL,Bets
2026-01-19/2026-01-25,-86.88000000000001,261
2026-01-12/2026-01-18,0.38999999999999924,362
2026-01-05/2026-01-11,15.1,284
2025-12-29/2026-01-04,0.4400000000000005,229

=== DAILY PERFORMANCE ===
Date,Daily_PL,Bets,Wins
2026-01-24,0.0,10,0
2026-01-23,-6.839999999999999,41,19
2026-01-22,-27.21,44,18
2026-01-21,-16.28,38,8
2026-01-20,-40.59,66,25
2026-01-19,4.039999999999997,62,20
2026-01-18,5.25,53,16
2026-01-17,6.31,23,7
2026-01-16,16.97,54,22
2026-01-15,-2.24,31,9
2026-01-14,-34.16,64,23
2026-01-13,4.1499999999999995,91,34
2026-01-12,4.109999999999999,46,19
2026-01-11,0.8699999999999998,35,9
2026-01-10,2.53,15,5
2026-01-09,7.55,42,11
2026-01-08,4.56,36,13
2026-01-07,3.76,26,10
2026-01-06,-1.5600000000000003,59,26
2026-01-05,-2.6099999999999994,71,30
2026-01-04,0.8099999999999997,52,27
2026-01-03,-0.3699999999999992,37,13
2026-01-01,0.0,75,0
2025-12-31,0.0,48,0
2025-12-30,0.0,17,0
